"","paste.tab....first....tab....last....sep.......","role","company","location","country"
"1","Mouna Akacha","lead","Novartis","Basel","Switzerland"
"2","Kaspar Rufibach","lead","Merck Healthcare KGaA","Meiringen","Switzerland"
"3","Nicky Best","member","GSK","","UK"
"4","Pierre Colin","member","BMS","Boudry","Switzerland"
"5","Rachid El-Galta","member","Sandoz","Holzkirchen","Germany"
"6","Philip Hougaard","member","Lundbeck","Valby","DK"
"7","Jurgen Hummel","member","Sabbatical","Edinburgh","UK"
"8","Mike Krams","member","Berry Consultants","Vienna","Austria"
"9","Vivian Lanius","member","Bayer","Wuppertal","Germany"
"10","Tobias Mielke","member","J&J","","Germany"
"11","Pascal Minini","member","Sanofi","Paris","France"
"12","Natalia Muhlemann","member","Cytel","Lausanne","Switzerland"
"13","Alex Ocampo","member","Roche","Basel","Switzerland"
"14","Henrik Ravn","member","Novo Nordisk","Copenhagen","Denmark"
"15","Christian Stock","member","Boehringer Ingelheim","Ingelheim","Germany"
"16","Marc Vandemeulebroecke","member","Bayer","Basel","Switzerland"
"17","David Wright","member","AstraZeneca","Cambridge","UK"
